epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
70,16101,0.707431,0.153927,0.609267,0.889737,0.6500,0.3500
70,16151,0.686897,0.178361,0.577076,0.890850,0.6500,0.3500
70,16201,0.428535,0.188093,0.311846,0.895293,0.8000,0.2000
70,16251,0.640586,0.243402,0.503730,0.894748,0.6500,0.3500
71,16331,0.422435,0.169431,0.230208,0.886079,0.7069,0.2931
71,16381,0.692003,0.157415,0.644240,0.883052,0.8000,0.2000
71,16431,0.744202,0.164140,0.626323,0.888276,0.5500,0.4500
71,16481,0.500328,0.183773,0.208880,0.888090,0.5709,0.4291
72,16561,0.697737,0.204959,0.650720,0.885804,0.8000,0.2000
72,16611,0.713500,0.209485,0.619308,0.888428,0.6500,0.3500
72,16661,0.902047,0.211349,0.915844,0.876423,0.6500,0.3500
72,16711,0.555441,0.149453,0.473786,0.882061,0.8000,0.2000
73,16791,0.858702,0.146968,0.839201,0.894918,0.6500,0.3500
73,16841,0.438730,0.157034,0.247040,0.886006,0.7000,0.3000
73,16891,0.430040,0.184402,0.316125,0.885700,0.8000,0.2000
73,16941,0.456723,0.209364,0.193299,0.892198,0.6231,0.3769
74,17021,0.828140,0.108125,0.796756,0.886424,0.6500,0.3500
74,17071,0.531391,0.207478,0.206972,0.887220,0.5231,0.4769
74,17121,0.521356,0.131087,0.211189,0.883485,0.5386,0.4614
74,17171,0.553834,0.244209,0.402160,0.876812,0.6805,0.3195
75,17251,0.454177,0.141279,0.141200,0.884788,0.5791,0.4209
75,17301,0.463454,0.142201,0.234976,0.887771,0.6500,0.3500
75,17351,0.633229,0.191159,0.495685,0.888669,0.6500,0.3500
75,17401,0.875059,0.240253,0.870670,0.886741,0.7269,0.2731
76,17481,0.788153,0.159464,0.703056,0.889300,0.5431,0.4569
76,17531,0.480895,0.209345,0.279448,0.889057,0.6695,0.3305
76,17581,0.385751,0.195923,0.261104,0.884340,0.8000,0.2000
76,17631,0.691237,0.163207,0.550421,0.877555,0.5695,0.4305
77,17711,0.428230,0.154823,0.203431,0.883707,0.6695,0.3305
77,17761,0.562029,0.195634,0.482994,0.878169,0.8000,0.2000
77,17811,0.670508,0.194801,0.488968,0.892391,0.5500,0.4500
77,17861,0.665622,0.170025,0.549900,0.880533,0.6500,0.3500
78,17941,1.456125,0.169697,1.597850,0.889225,0.8000,0.2000
78,17991,0.520931,0.213802,0.254358,0.887015,0.5786,0.4214
78,18041,0.700511,0.159142,0.604135,0.879494,0.6500,0.3500
78,18091,0.503084,0.209812,0.406164,0.890760,0.8000,0.2000
79,18171,0.460657,0.181207,0.231391,0.886437,0.6500,0.3500
79,18221,0.435251,0.180949,0.244459,0.880431,0.7000,0.3000
79,18271,0.550065,0.154254,0.466834,0.882989,0.8000,0.2000
79,18321,0.453203,0.233178,0.166721,0.881315,0.5991,0.4009
80,18401,0.626296,0.166800,0.484299,0.890004,0.6500,0.3500
80,18451,0.508624,0.173978,0.262827,0.892345,0.6095,0.3905
80,18501,0.427764,0.180248,0.147569,0.890962,0.6231,0.3769
80,18551,0.606470,0.234092,0.457870,0.882441,0.6500,0.3500
81,18631,0.473531,0.147588,0.339228,0.878384,0.7509,0.2491
81,18681,0.500189,0.137419,0.192902,0.889853,0.5591,0.4409
81,18731,0.669220,0.173604,0.548516,0.893385,0.6500,0.3500
81,18781,0.585494,0.152135,0.510411,0.885826,0.8000,0.2000
82,18861,0.522891,0.138443,0.215795,0.886582,0.5422,0.4578
82,18911,0.650294,0.173878,0.527311,0.888067,0.6591,0.3409
82,18961,0.841518,0.175954,0.831354,0.882171,0.8000,0.2000
82,19011,0.514097,0.227017,0.250533,0.876049,0.5786,0.4214
83,19091,1.083433,0.200438,1.169736,0.882058,0.7000,0.3000
83,19141,0.797108,0.136635,0.733755,0.884273,0.5791,0.4209
83,19191,0.494405,0.119401,0.178446,0.880578,0.5500,0.4500
83,19241,0.891524,0.164519,0.900305,0.881197,0.5405,0.4595
84,19321,0.737213,0.186170,0.666649,0.881066,0.6709,0.3291
84,19371,0.564786,0.182751,0.351691,0.884430,0.6000,0.4000
84,19421,0.586131,0.171845,0.429801,0.876459,0.6500,0.3500
84,19471,0.432430,0.163723,0.213198,0.879359,0.6709,0.3291
85,19551,0.655084,0.243443,0.484162,0.889811,0.5786,0.4214
85,19601,0.691113,0.163222,0.582531,0.892767,0.6500,0.3500
85,19651,0.400543,0.142466,0.280711,0.879872,0.8000,0.2000
85,19701,0.565565,0.160472,0.316457,0.885439,0.5622,0.4378
86,19781,1.366451,0.157186,1.621693,0.892430,0.6500,0.3500
86,19831,0.803850,0.184050,0.739128,0.882954,0.5500,0.4500
86,19881,0.677045,0.163519,0.565276,0.884614,0.6500,0.3500
86,19931,0.772032,0.251944,0.713116,0.881447,0.6500,0.3500
87,20011,0.534453,0.161530,0.437528,0.894322,0.7878,0.2122
87,20061,0.494825,0.153861,0.284666,0.885120,0.6500,0.3500
87,20111,0.448770,0.124997,0.233970,0.883988,0.6695,0.3305
87,20161,1.106349,0.198331,1.161053,0.887533,0.8000,0.2000
88,20241,0.443156,0.122858,0.150945,0.879830,0.5991,0.4009
88,20291,0.574235,0.170833,0.406864,0.885067,0.6500,0.3500
88,20341,0.519540,0.172235,0.222225,0.882925,0.5500,0.4500
88,20391,0.759908,0.177081,0.658975,0.893456,0.5695,0.4305
89,20471,0.515199,0.151886,0.325387,0.882180,0.6591,0.3409
89,20521,0.391254,0.179264,0.266155,0.891649,0.8000,0.2000
89,20571,0.721797,0.187810,0.638229,0.876994,0.6500,0.3500
89,20621,1.059752,0.226742,1.133804,0.894228,0.6909,0.3091
90,20701,0.457335,0.115786,0.352279,0.877558,0.8000,0.2000
90,20751,0.528364,0.163274,0.244902,0.874817,0.5500,0.4500
90,20801,0.895695,0.151612,0.899010,0.889538,0.6500,0.3500
90,20851,0.590707,0.167974,0.518148,0.880944,0.8000,0.2000
91,20931,0.617200,0.195589,0.390160,0.882760,0.5391,0.4609
91,20981,0.425775,0.133751,0.208715,0.887990,0.6805,0.3195
91,21031,0.578854,0.160438,0.298998,0.885805,0.5231,0.4769
91,21081,0.644658,0.159347,0.449766,0.882860,0.5500,0.4500
92,21161,0.900970,0.160172,0.908668,0.886672,0.6500,0.3500
92,21211,0.777326,0.189654,0.739605,0.877736,0.7269,0.2731
92,21261,0.604629,0.124559,0.396097,0.891005,0.5786,0.4214
92,21311,0.752482,0.180635,0.667267,0.895671,0.6269,0.3731
